RMP,V_peak,APD40,APD90,Tri9040,dVdt_max,qNet,Ca_diast,Ca_peak,CTD50,CTD90,EMw90,Tttp,T_peak,Trt50,Trt90,dTdt_max,dTdt_min
-87.83061364,26.03814586,179.94,251.42,71.48,280.2399097,0.03061125,80.71082558,459.3275531,155.24,279.48,28.06,147.11,19.16697914,98.67,202.83,0.237637635,-0.132041046
-88.71675194,40.8604382,185.62,260.23,74.61,434.6747965,-0.067448549,77.30652334,586.6703583,179.61,329.86,69.63,167.52,33.63034815,114.81,223.26,0.363311192,-0.207385041
-88.3923294,26.80836515,214.95,303.93,88.98,281.1471292,-0.067996745,73.25796612,474.3309708,246.02,431.82,127.89,190.98,27.05937423,131.44,251.89,0.259940482,-0.146565056
-88.24438448,37.4734034,187.31,267.94,80.63,401.4429725,-0.007393709,79.15386252,483.8106521,168.33,301.56,33.62,154.6,22.37187298,105.8,211.61,0.263793325,-0.145071993
-88.74770082,31.45150419,251.35,329.49,78.14,330.5628204,-0.073400863,62.54834157,382.3575695,224.61,365.83,36.34,167.65,15.10872037,118.62,228.5,0.166923167,-0.086888297
-88.50445174,35.64836399,160.82,230.47,69.65,371.2085979,0.033713313,88.06601849,439.569201,151.87,285.92,55.45,144.03,16.85016031,101.22,210.02,0.215498871,-0.111302892
-87.75375704,37.90812757,164.62,247.21,82.59,397.8249901,0.028257182,68.16790577,404.5413821,207.79,353.85,106.64,172.21,17.84188644,106.35,214.27,0.188776948,-0.117095741
-88.55857476,38.3477735,171.85,236.59,64.74,406.2981103,-0.012527989,72.40309629,502.6961252,202.2,353.79,117.2,175.22,27.83645804,112.93,221.97,0.28782405,-0.174457088
-88.34179014,35.12261326,176.59,252.07,75.48,363.6327915,-0.0235964,78.85651425,513.1323079,210.7,379.2,127.13,179.26,29.32146421,120.92,236.22,0.29794734,-0.170580859
-88.15212447,39.85499634,166.86,267.59,100.73,430.9193599,0.00221845,82.16369802,501.701663,205.3,381.15,113.56,174.04,27.1868288,122.21,240.81,0.285850952,-0.154034733
-88.86549399,29.92024881,252.83,327.14,74.31,309.6319343,-0.132939596,72.44244348,577.5610701,191.92,342.9,15.76,172.05,33.98590694,120.42,229.04,0.357238568,-0.197037469
